Query Execution Results


Results for salaries_1MB.db:

Query 1:
                         Jimmy Frazier       University of Florida
                      Christine Jacobs       University of Florida
                        Regina Johnson    University of California
                          Lori Huffman      University of Illinois
                        Kimberly Jones         University of Texas
                            Erin Lopez University of Massachusetts
                      Stephen Williams    University of California
                       Tristan Leonard       University of Florida
                     Derrick Mccormick    University of California
                       Stephanie Lewis         University of Texas
                          Lisa Anthony         University of Texas
                           Erika Reese         University of Texas
                           David Ortiz         University of Texas
                             Chad Hall    University of California
                    Mr. James Luna DDS       University of Florida
                        Jennifer Brown    University of California
                      Kelsey Robertson      University of Illinois
                          Cathy Walker University of Massachusetts
                           Rodney King    University of California
                         David Russell       University of Florida
                           Troy Garcia      University of Illinois
                        Eduardo Norris       University of Florida
                        Krista Skinner       University of Florida
                      Katrina Gonzales University of Massachusetts
                          Kerry Martin       University of Florida
                        Keith Robinson       University of Florida
                         Jessica Green    University of California
                         Ronald Haynes University of Massachusetts
                          Ann Browning    University of California
                           Jamie Baker    University of California
                           Laura Riley       University of Florida
                         Daniel Wright    University of California
                       James Dominguez      University of Illinois
                           Zoe Trevino      University of Illinois
                          Mark Roberts    University of California
                   Mitchell Collins MD    University of California
                     William Christian University of Massachusetts
                          Daniel White      University of Illinois
                          Alyssa Lynch      University of Illinois
                          Lisa Simmons      University of Illinois
                        James Williams University of Massachusetts
                      Jennifer Johnson         University of Texas
                    Christina Sullivan       University of Florida
                       Gregory Johnson       University of Florida
                         Steve Watkins    University of California
                         Morgan Cooper       University of Florida
                       Timothy Trevino University of Massachusetts
                        Michelle Jones       University of Florida
                         Dana Bradshaw         University of Texas
                         Antonio Ramos      University of Illinois
                        Dr. Jay Garcia University of Massachusetts
                    Patricia Gutierrez         University of Texas
                         Julia Sanchez         University of Texas
                           Cory Garcia University of Massachusetts
                          Wendy Barker University of Massachusetts
                         Walter Snyder University of Massachusetts
                            Kim Hunter       University of Florida
                  Christopher Matthews University of Massachusetts
                        Samantha Ramos    University of California
                        Timothy Willis       University of Florida
                           Lisa Guzman         University of Texas
                          Eric Mccarty    University of California
                        Mary Hernandez       University of Florida
                      Yolanda Williams University of Massachusetts
                           Donna Avery      University of Illinois
                      Oscar Williamson         University of Texas
                          Rickey Huynh       University of Florida
                       Michelle Miller University of Massachusetts
                           John Garcia       University of Florida
                        Brandon Daniel    University of California
                           Tommy Reyes    University of California
                         Marcus Obrien         University of Texas
                          Steven Olson       University of Florida
                      Carla Strickland      University of Illinois
                          Matthew Rush University of Massachusetts
                           Joe Perkins       University of Florida
                             Gary Pugh       University of Florida
                          Andrea Meyer         University of Texas
                            Lisa James    University of California
                          Alexis Davis University of Massachusetts
                        Trevor Johnson University of Massachusetts
                          Suzanne Pena    University of California
                         Alex Marshall University of Massachusetts
                          John Jimenez      University of Illinois
                             Dana Reed University of Massachusetts
                         Nicole Carter         University of Texas
                      Emily Bailey DDS       University of Florida
                         Susan Cabrera    University of California
               Dr. Jennifer Montgomery    University of California
                             Mary Reid         University of Texas
                       Robert Cisneros       University of Florida
                          Lisa Bennett      University of Illinois
                      Jeffrey Sullivan         University of Texas
                         Susan Johnson         University of Texas
                          Vernon Weiss      University of Illinois
                           Brandi Hall       University of Florida
                         Cassie Wilson    University of California
                            Sonya Reed    University of California
                      Ashley Rodriguez      University of Illinois
                            Debra Lynn University of Massachusetts
                          Amanda Jones         University of Texas
                        Nicolas Benson       University of Florida
                        Thomas Winters      University of Illinois
                         Sara Roberson       University of Florida
                            David Hall    University of California
                         Amanda Rivers       University of Florida
                         Latoya Pineda         University of Texas
                      Melinda Williams         University of Texas
                          Taylor Riley    University of California
                          Erica Lucero       University of Florida
                    Mr. Daniel Bullock    University of California
                          Derek Lee MD    University of California
                         Michael White    University of California
                          Traci Cherry University of Massachusetts
                         Ethan Ramirez University of Massachusetts
                          April Wilson    University of California
                       Rachel Davidson    University of California
                        Sharon Beasley University of Massachusetts
                        Kelly Robinson    University of California
                          Paula Rivera    University of California
                        Mitchell Clark         University of Texas
                        Patricia James    University of California
                         Shane Serrano University of Massachusetts
                          Paula Chavez       University of Florida
                        Patricia Woods University of Massachusetts
                              Ana Reid       University of Florida
                        Anna Henderson       University of Florida
                       Patricia Cooper      University of Illinois
                         Frank Ballard University of Massachusetts
                          Suzanne Pena University of Massachusetts
                            Devon Gray      University of Illinois
                           Jacob Scott       University of Florida
                         Teresa Wilson University of Massachusetts
                        Rebecca Robles    University of California
                         Travis Riddle         University of Texas
                          Alan Higgins         University of Texas
                          Evelyn Mcgee       University of Florida
                    Karen Morrison DDS         University of Texas
                        Stacey Bennett      University of Illinois
                        Michelle Blake       University of Florida
                             Jose Lang    University of California
                        Bryan Oconnell       University of Florida
                Mr. Lawrence Howard II      University of Illinois
                          Ricky Hanson      University of Illinois
                         Kevin Gardner University of Massachusetts
                 Christopher Christian       University of Florida
                        Thomas Winters    University of California
                          Erin Randall      University of Illinois
                        Brooke Coleman      University of Illinois
                            Ryan Tapia      University of Illinois
                         Dawn Gonzalez University of Massachusetts
                          Sandy Miller         University of Texas
                          Caitlin Ross         University of Texas
                       Kenneth Hubbard         University of Texas
                       Mary Romero DVM       University of Florida
                           Karen Brown    University of California
                           Mary Cuevas    University of California
                          Lisa Douglas         University of Texas
                           Renee Short    University of California
                        Shannon Maddox      University of Illinois
                          Shaun Powell       University of Florida
                           Lacey Baker University of Massachusetts
                        Colleen Warren         University of Texas
                       Cynthia Mercado      University of Illinois
                       Angel Banks DDS       University of Florida
                            John Duffy      University of Illinois
                             Adam Gray         University of Texas
                             Roger Lee    University of California
                         Jason Sherman    University of California
                            Sara Smith University of Massachusetts
                     Michael Dickerson University of Massachusetts
                           David Silva University of Massachusetts
                             Jack Gray    University of California
                        Matthew Mcneil      University of Illinois
                        Susan Holloway         University of Texas
                            Joann Pace      University of Illinois
                     Nicholas Williams    University of California
                       David Daniel II       University of Florida
                            John Clark    University of California
                             Lisa Long      University of Illinois
                         James Alvarez      University of Illinois
                       Nathaniel Frank      University of Illinois
                          Dustin Miles         University of Texas
                         Leslie Potter         University of Texas
                     Brittany Gonzalez         University of Texas
                          Jamie Howell      University of Illinois
                         John Griffith      University of Illinois
                       Zachary Mendoza      University of Illinois
                         Melissa Ewing       University of Florida
                          Juan Krueger University of Massachusetts
                         Anthony Clark      University of Illinois
                           Erica Welch    University of California
                              Dana Fox University of Massachusetts
                             Drew Webb      University of Illinois
                            Matthew Le      University of Illinois
                        Nicholas White University of Massachusetts
                           Deanna Hill      University of Illinois
                          John Hancock       University of Florida
                           Kristen Lee    University of California
                          Maria Palmer       University of Florida
                            Daniel Lee    University of California
                          Kevin Taylor      University of Illinois
                         Paul Guerrero      University of Illinois
                      Kathleen Escobar       University of Florida
                           Susan Lopez University of Massachusetts
                      Michael Matthews       University of Florida
                          Howard Brown      University of Illinois
                           John Hunter      University of Illinois
                         Jessica Glenn       University of Florida
                           John Gibson University of Massachusetts
                         Logan Sherman    University of California
                        Stephanie Gray University of Massachusetts
                          Michael Wise University of Massachusetts
                            James Frey      University of Illinois
                        Scott Robinson University of Massachusetts
                        Matthew Miller    University of California
                          Kelsey Woods University of Massachusetts
                         Victoria Wise University of Massachusetts
                         Jeremy Thomas    University of California
                            Dana Brady      University of Illinois
                           Eric Briggs      University of Illinois
                        Michael Travis       University of Florida
                      Michael Matthews      University of Illinois
                         Samantha Rice       University of Florida
                        Hector Manning       University of Florida
                         Samantha Choi       University of Florida
                         Alyssa Foster    University of California
                       Kelly Robertson University of Massachusetts
                           Adam Parker    University of California
                       Lauren Robinson University of Massachusetts
                      Omar Ramirez DVM       University of Florida
                        Deborah Osborn    University of California
                           Denise Hart       University of Florida
                         Jeremy Grimes      University of Illinois
                          Karen Rivera    University of California
                             Roy Casey         University of Texas
                         John Matthews         University of Texas
                    Elizabeth Martinez       University of Florida
                          Casey Joseph    University of California
                           Tina Butler    University of California
                         Larry Ramirez University of Massachusetts
                          Megan Nelson      University of Illinois
                         Thomas Gibson      University of Illinois
                             Tara Wong       University of Florida
                           Taylor Bell    University of California
                        James Faulkner University of Massachusetts
                           Wanda Burns    University of California
                          Jessica King      University of Illinois
                        Brandi Sellers      University of Illinois
                        Andrea Charles University of Massachusetts
                         Susan Johnson    University of California
                          Pamela Blake       University of Florida
                         Jeffrey James         University of Texas
                   Jennifer Watkins MD       University of Florida
                              Amy Long University of Massachusetts
                     Michael Jefferson      University of Illinois
                      Michael Roberson    University of California
                          Wendy Jacobs       University of Florida
                          Ricky Hanson    University of California
                      Stephanie Taylor      University of Illinois
                           Alexis Hill         University of Texas
                            Corey Lane University of Massachusetts
                            Andre Beck      University of Illinois
                      Veronica Robbins         University of Texas
                         Daniel Thomas    University of California
                        Christina Wise         University of Texas
                          Tony Hampton    University of California
                          Peter Taylor         University of Texas
                        Laura Robinson      University of Illinois
                       Tiffany Bernard       University of Florida
                         William Clark      University of Illinois
                      Jeffrey Gonzalez University of Massachusetts
                           Jill Nelson       University of Florida
                     Elizabeth Acevedo University of Massachusetts
                         Kristen Riley University of Massachusetts
                         Krystal Mejia      University of Illinois
                            Jason King       University of Florida
                            Justin Kim      University of Illinois
                          Jared Juarez         University of Texas
                       Janice Williams      University of Illinois
                     Anthony Hernandez         University of Texas
                        Wesley Wilkins University of Massachusetts
                       Mrs. Jamie Reid University of Massachusetts
                           Terri Lewis University of Massachusetts
                        Carol Williams    University of California
                          Dana Schultz    University of California
                             Adam Gray      University of Illinois
                            Corey Hale       University of Florida
                          Amy Reynolds    University of California
                     William Rodriguez University of Massachusetts
                            Tara Smith       University of Florida
                   Kaitlyn Christensen    University of California
                         Amanda Wright University of Massachusetts
                         Darrell Jones       University of Florida
                             Tara Cook      University of Illinois
                          April Morris    University of California
                           Aimee Lewis       University of Florida
                        Mark Carpenter    University of California
                      Jeremiah Johnson    University of California
                          Jacob Hunter      University of Illinois
                         Arthur Chavez       University of Florida
                          Julia Jarvis       University of Florida
                          Lori Bennett    University of California
                         George Wagner      University of Illinois
                        Timothy Cortez      University of Illinois
                       Zachary Roberts    University of California
                       Anthony Jackson      University of Illinois
                         John Espinoza    University of California
                           Edward Ward University of Massachusetts
                       Gilbert Gardner    University of California
                       Christie Howard       University of Florida
                          William Wood         University of Texas
                        Michele Murphy      University of Illinois
                            Ann Hughes       University of Florida
                        Amber Lawrence         University of Texas
                      Jeremy Henderson    University of California
                       Valerie Morales    University of California
                       Francisco Mason       University of Florida
                        Michelle Lewis    University of California
                          Jason Chavez      University of Illinois
                       Nicholas Garcia      University of Illinois
                        Charles Chavez University of Massachusetts
                         Daniel Warren    University of California
                        Samuel Trevino         University of Texas
                          Julie Garcia    University of California
                         Thomas Gibson University of Massachusetts
                          Tiffany Snow       University of Florida
                     Gabriela Hamilton       University of Florida
                          Sarah Martin       University of Florida
                         Shannon Jones       University of Florida
                            David Wood       University of Florida
                         John Perez MD       University of Florida
                         Tyler Vasquez         University of Texas
                         Brooke Morgan      University of Illinois
                      Michael Sheppard    University of California
                           Daniel Hill      University of Illinois
                        Albert Ramirez         University of Texas
                           Mark Carter         University of Texas
                        Brittany Huber         University of Texas
                       Jennifer Parker         University of Texas
                             Lisa Ruiz University of Massachusetts
                    Miss Anne Sullivan    University of California
                          William Ross    University of California
                          Kathryn Ford       University of Florida
                            Joy Watson       University of Florida
                        Brandon Daniel      University of Illinois
                            David Page    University of California
                            Jose Davis University of Massachusetts
                        Elizabeth Reed       University of Florida
                          Lisa Spencer University of Massachusetts
                     Nathaniel Simmons      University of Illinois
                    Miss Anne Sullivan         University of Texas
                       Andrew Hamilton         University of Texas
                        Patrick Miller University of Massachusetts
                   Meredith Stephenson      University of Illinois
                           Sean Mercer         University of Texas
                        Melissa Nguyen         University of Texas
                          Kelly Nguyen University of Massachusetts
                          Maria Porter University of Massachusetts
                           David James    University of California
                       Elizabeth Adams    University of California
                           Mark Steele         University of Texas
                     Shannon Rodriguez         University of Texas
                           John Bryant         University of Texas
                         Jessica Weber       University of Florida
                         Daniel Dawson    University of California
                          Bryan Garcia    University of California
                        Hailey Jackson       University of Florida
                        Robert Andrews University of Massachusetts
                       Christine Wells         University of Texas
                     Dr. Katrina Brown       University of Florida
                        Vanessa Taylor    University of California
                           Maria Burch         University of Texas
                           Kelsey Cain         University of Texas
                           Amy Alvarez    University of California
                         Jeffrey Gomez    University of California
                       Nathan Hamilton         University of Texas
                       Austin Anderson    University of California
                        Rachel Freeman University of Massachusetts
                         Amanda Bailey      University of Illinois
                          Dennis Jones         University of Texas
                         Ashley Taylor      University of Illinois
                      Jennifer Perkins       University of Florida
                          Meredith Lee         University of Texas
                        Michelle Moses    University of California
                    Christopher Watson       University of Florida
                          Lisa Jackson      University of Illinois
                        Rachel Alvarez      University of Illinois
                             Adam Wood      University of Illinois
                           Troy Morrow      University of Illinois
                          Sheri Conner         University of Texas
                         Emily Mendoza      University of Illinois
                         Travis Garcia       University of Florida
                      Elizabeth Orozco      University of Illinois
                            Karen Pugh University of Massachusetts
                         Glenda Holmes       University of Florida
                          Amanda Bates         University of Texas
                         Kari Mitchell       University of Florida
                        Gregory Warren    University of California
                         Justin Foster      University of Illinois
                       Mary Cunningham       University of Florida
                            Juan Casey University of Massachusetts
                          Joshua Payne University of Massachusetts
                    Mrs. Teresa Kramer         University of Texas
                           Kelly Brown       University of Florida
                          Joshua Payne      University of Illinois
                         Thomas Santos      University of Illinois
                         Tamara Nelson    University of California
                          Edward Mcgee         University of Texas
                        Stephen Romero       University of Florida
                         Patrick Smith      University of Illinois
                  Mr. Edwin Montgomery University of Massachusetts
                        Dana Underwood    University of California
                          Lisa Pearson       University of Florida
                         Ernest Knight       University of Florida
                         Brenda Gordon         University of Texas
                          Debra Coffey    University of California
                        Connor Simpson         University of Texas
                         Michael Perez University of Massachusetts
                            Corey Snow University of Massachusetts
                       Bethany Johnson University of Massachusetts
                          Angela Allen         University of Texas
                        Barbara Taylor    University of California
                         Pamela Thomas       University of Florida
                           Monica Hall University of Massachusetts
                      Christine Graves       University of Florida
                            Kevin Ross       University of Florida
                          Andrew Davis      University of Illinois
                        William Sexton University of Massachusetts
                           Jason Myers    University of California
                    Alexandra Robinson    University of California
                         Caitlin Frank      University of Illinois
                         Michael Jones University of Massachusetts
                         Autumn Pruitt    University of California
                       Shannon Leblanc       University of Florida
                           Doris Clark    University of California
                         Wanda Stewart    University of California
                       Randall Edwards    University of California
                            Dana Brady         University of Texas
                            Jerry Love      University of Illinois
                         Maria Hoffman University of Massachusetts
                         Michael Allen    University of California
                        Matthew Keller      University of Illinois
                            Tyler Pugh      University of Illinois
                            Kyle Henry         University of Texas
                         Lindsey Smith    University of California
                       Debbie Williams    University of California
                        Brenda Huffman         University of Texas
                        Anthony Parker University of Massachusetts
                             Adam Boyd      University of Illinois
                           Devin Parks      University of Illinois
                           Laura Reyes       University of Florida
                           Edward Tran      University of Illinois
                          Natalie Hunt       University of Florida
                     Zachary Patterson University of Massachusetts
                        Joseph Johnson       University of Florida
                          Jade Roberts University of Massachusetts
                         William Woods         University of Texas
                             Adam Bell       University of Florida
                    Sabrina Stephenson         University of Texas
                            Anita Rios University of Massachusetts
                         Tammie Bowers      University of Illinois
                            Noah Jones         University of Texas
                        Nichole Bowman      University of Illinois
                          Ruben Knight         University of Texas
                       Kimberly Miller University of Massachusetts
                        Alyssa Johnson    University of California
                           Connor Wood      University of Illinois
                         Michael Arias University of Massachusetts
                           Paul Harvey         University of Texas
                          Larry Oliver         University of Texas
                          Joseph Brown University of Massachusetts
                            Mary Jones    University of California
                          Emily Molina    University of California
                     Kimberly Thompson University of Massachusetts
                        Matthew Carter    University of California
                          Jason Conner       University of Florida
                          Tony Shepard         University of Texas
                      Trevor Armstrong       University of Florida
                        Lindsay Hanson      University of Illinois
                         Rachel Campos      University of Illinois
                          Lorraine Lee       University of Florida
                         Megan Jimenez       University of Florida
                            Brian Rice      University of Illinois
                          Monica Smith         University of Texas
                           Eddie Mccoy      University of Illinois
                              Dana Fox    University of California
                       Carol Mcfarland    University of California
                         Ernest Murray       University of Florida
                       Jennifer Fields       University of Florida
                      Stephanie Hester University of Massachusetts
                        Jonathan Wells    University of California
                         Justin Mcneil         University of Texas
                            John Smith    University of California
                              Mark Fox University of Massachusetts
                        Denise Jenkins    University of California
                          Kathleen Day         University of Texas
                       David Patterson         University of Texas
                        Melissa Murphy University of Massachusetts
                         James Bridges       University of Florida
                        Phyllis Atkins    University of California
                        James Phillips University of Massachusetts
                           Tyler Stone University of Massachusetts
                    Antonio Mclaughlin    University of California
                       Jeanette Conway       University of Florida
                           Edgar Mason    University of California
                        Joseph Compton University of Massachusetts
                       Anthony Camacho      University of Illinois
                           Adam Thomas       University of Florida
                         Jordan Morris    University of California
                    Catherine Chambers       University of Florida
                   Michelle Cunningham      University of Illinois
                       David Armstrong       University of Florida
                          Tracy Ashley      University of Illinois
                         Cory Johnston       University of Florida
                            Sue Foster    University of California
                    Sabrina Stephenson    University of California
                           Ashley Lamb University of Massachusetts
                          Karen Watson University of Massachusetts
                      Danielle Wallace      University of Illinois
                       William Vasquez    University of California
                        Michelle Chung    University of California
                             Mary Hill      University of Illinois
                          Chris Norton       University of Florida
                           Kara Kelley    University of California
                     Elizabeth Montoya      University of Illinois
                          Crystal Cobb University of Massachusetts
                       Nancy Carpenter      University of Illinois
                          Jerome Ellis       University of Florida
                           Steven Neal       University of Florida
                      Mr. Frank Watson       University of Florida
                         Stephen David      University of Illinois
                       Rodney Williams       University of Florida
                         George Oneill    University of California
                        Mary Maldonado         University of Texas
                     Christopher Davis         University of Texas
                           Robin Huber       University of Florida
                             Lori Ryan       University of Florida
                          Sherry Lewis      University of Illinois
                         Brandi Wright University of Massachusetts
                         Brenda Murphy         University of Texas
                       Samuel Harrison         University of Texas
                          Jacob Ortega University of Massachusetts
                           Eric Morris      University of Illinois
                            Ryan Henry       University of Florida
                       Molly Hernandez University of Massachusetts
                          Cindy Benson University of Massachusetts
                     Margaret Buchanan University of Massachusetts
                         Brent Sanders    University of California
                        Kathy Thompson    University of California
                 Christopher Hernandez University of Massachusetts
                        Christina Sims         University of Texas
                      Carolyn Mccarthy University of Massachusetts
                         Kevin Dickson    University of California
                             John Beck         University of Texas
                         Javier Warren      University of Illinois
                        David Robinson      University of Illinois
                            Corey Hale University of Massachusetts
                      Christy Clements       University of Florida
                        Connie Cordova      University of Illinois
                     Victoria Espinoza      University of Illinois
                       Elizabeth Knapp University of Massachusetts
                          Joseph Ortiz      University of Illinois
                       Rebecca Patrick University of Massachusetts
                         Ashley Barker University of Massachusetts
                        Matthew Forbes    University of California
                          Jason Harris    University of California
                      Kristopher Hanna         University of Texas
                        Shannon Herman    University of California
                         Pamela Oliver         University of Texas
                          Linda Haynes       University of Florida
                           Aaron Duran         University of Texas
                        Doris Alvarado         University of Texas
                            Kevin Kidd      University of Illinois
                     Mr. Joshua Garcia University of Massachusetts
                            Amy Santos      University of Illinois
                      Kimberly Schultz University of Massachusetts
                        Danielle Smith    University of California
                       Jennifer Arroyo    University of California
                         Jordan Morris         University of Texas
                          Kevin Torres         University of Texas
                          Sara Boyd MD         University of Texas
                            Erica Hale         University of Texas
                     Christopher Smith    University of California
                         Katrina Jones University of Massachusetts
                      Courtney Sanchez    University of California
                         Diana Johnson       University of Florida
                            Tara Perry University of Massachusetts
                           Katie Gomez    University of California
                          Brian Bryant         University of Texas
                          Haley Church       University of Florida
                    Christopher Knight       University of Florida
                            David Hunt    University of California
                         Matthew Haney University of Massachusetts
                        Krystal Knight       University of Florida
                         Jonathan Reed    University of California
                       Cynthia Mercado         University of Texas
                       Heidi Whitehead University of Massachusetts
                          Alicia Lopez       University of Florida
                      Margaret Maxwell       University of Florida
                        William Archer         University of Texas
                       Michael Johnson       University of Florida
                      Richard Williams       University of Florida
                         Joshua Parker         University of Texas
                          Kevin Ramsey    University of California
                       Rebecca Maxwell         University of Texas
                       Nicole Gonzalez       University of Florida
                            Tyler Gill      University of Illinois
                        Gabriel Brandt University of Massachusetts
                          Misty Flores University of Massachusetts
                  Christopher Castillo University of Massachusetts
                            Toni Brown University of Massachusetts
                        Heather Garner      University of Illinois
                     Joshua Cunningham    University of California
                        David Mitchell       University of Florida
                     Jennifer Saunders         University of Texas
                         Joseph Brewer       University of Florida
                         Cory Thornton    University of California
                         Kevin Carlson    University of California
                     Christopher Weber    University of California
                       Nicole Martinez University of Massachusetts
                     Timothy Hernandez    University of California
                    Courtney Hernandez    University of California
                        Susan Holloway University of Massachusetts
                            Evan Smith      University of Illinois
                         Andrew Keller    University of California
                   Christopher Stevens    University of California
                           Larry Perez    University of California
                          David Sparks       University of Florida
                         Frank Stanley         University of Texas
                        Deborah Jarvis    University of California
                            Lisa Curry    University of California
                          Cathy Walker         University of Texas
                         Ashley Larson       University of Florida
                        Michelle Lewis       University of Florida
                        Dustin Coleman         University of Texas
                          Eric Burnett         University of Texas
                            Cody Baker University of Massachusetts
                          Sarah Bailey      University of Illinois
                         Jeffrey Moore University of Massachusetts
                             Amy Scott       University of Florida
                            Alec Young      University of Illinois
                        William Cooper University of Massachusetts
                       Mary Hutchinson      University of Illinois
                         Gerald Turner University of Massachusetts
                         Thomas Tucker         University of Texas
                         Ethan Jackson         University of Texas
                         Kristy Kramer    University of California
                           Sheri Oneal University of Massachusetts
                              Amy Dean       University of Florida
                          Samuel Drake University of Massachusetts
                           Sergio Rios       University of Florida
                      Katrina Gonzales       University of Florida
                          Donna Powers         University of Texas
                          Linda Obrien         University of Texas
                         Michael Burns         University of Texas
                           Cheryl Long      University of Illinois
                          Donna Deleon      University of Illinois
                        Kelsey Morales      University of Illinois
                         Raymond Brock University of Massachusetts
                       Lucas Rodriguez    University of California
                      Sherri Alexander University of Massachusetts
